Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result,Playoff Outcome
2007-2008,Boston Celtics,Est,0.805,1,1,0.8,9,1,No Playoff,No Playoff,NBA Champion
2007-2008,Detroit Pistons,Est,0.72,2,2,0.7,7,4,Conference Final,Conference Final,Conference Final
2007-2008,Orlando Magic,Est,0.634,3,9,0.65,6,6,No Playoff,First Round,Conference Semi-Final
2007-2008,Cleveland Cavaliers,Est,0.549,4,13,0.5,20,12,Conference Semi-Final,NBA Final,Conference Semi-Final
2007-2008,Washington Wizards,Est,0.524,5,14,0.65,12,24,First Round,First Round,First Round
2007-2008,Toronto Raptors,Est,0.5,6,15,0.35,10,13,No Playoff,First Round,First Round
2007-2008,Philadelphia Sixers,Est,0.488,7,17,0.55,18,9,No Playoff,No Playoff,First Round
2007-2008,Atlanta Hawks,Est,0.451,8,19,0.55,16,18,No Playoff,No Playoff,First Round
2007-2008,Los Angeles Lakers,West,0.695,1,3,0.65,3,5,First Round,First Round,NBA Final
2007-2008,New Orlean Hornets,West,0.683,2,4,0.7,5,7,No Playoff,No Playoff,Conference Semi-Final
2007-2008,San Antonio Spurs,West,0.683,3,5,0.65,15,3,Conference Semi-Final,NBA Champion,Conference Final
2007-2008,Utah Jazz,West,0.659,4,6,0.7,1,11,No Playoff,Conference Semi-Final,Conference Semi-Final
2007-2008,Houston Rockets,West,0.671,5,7,0.65,17,2,No Playoff,First Round,First Round
2007-2008,Phoenix Suns,West,0.671,6,8,0.75,2,16,Conference Final,Conference Semi-Final,First Round
2007-2008,Dallas Mavericks,West,0.622,7,10,0.6,8,8,NBA Final,First Round,First Round
2007-2008,Denver Nuggets,West,0.61,8,11,0.65,11,10,First Round,First Round,First Round
2006-2007,Detroit Pistons,Est,0.646,1,4,0.65,6,6,NBA Final,Conference Final,Conference Final
2006-2007,Cleveland Cavaliers,Est,0.61,2,7,0.65,18,4,No Playoff,Conference Semi-Final,NBA Final
2006-2007,Toronto Raptors,Est,0.573,3,9,0.7,10,12,No Playoff,No Playoff,First Round
2006-2007,Miami Heat,Est,0.537,4,11,0.55,24,9,Conference Final,NBA Champion,First Round
2006-2007,Chicago Bulls,Est,0.598,5,8,0.7,22,1,First Round,First Round,Conference Semi-Final
2006-2007,New Jersey Nets,Est,0.5,6,14,0.65,16,15,First Round,Conference Semi-Final,Conference Semi-Final
2006-2007,Washington Wizards,Est,0.5,7,15,0.35,4,27,Conference Semi-Final,First Round,First Round
2006-2007,Orlando Magic,Est,0.488,8,16,0.55,19,7,No Playoff,No Playoff,First Round
2006-2007,Dallas Mavericks,West,0.817,1,1,0.75,2,5,Conference Semi-Final,NBA Final,First Round
2006-2007,Phoenix Suns,West,0.744,2,2,0.65,1,13,Conference Final,Conference Final,Conference Semi-Final
2006-2007,San Antonio Spurs,West,0.707,3,3,0.7,5,2,NBA Champion,Conference Semi-Final,NBA Champion
2006-2007,Utah Jazz,West,0.622,4,5,0.4,3,14,No Playoff,No Playoff,Conference Final
2006-2007,Houston Rockets,West,0.634,5,6,0.7,15,3,First Round,No Playoff,First Round
2006-2007,Denver Nuggets,West,0.549,6,10,0.7,9,10,First Round,First Round,First Round
2006-2007,Los Angeles Lakers,West,0.512,7,12,0.45,7,24,No Playoff,First Round,First Round
2006-2007,Golden State Warriors,West,0.512,8,13,0.75,12,18,No Playoff,No Playoff,Conference Semi-Final
2005-2006,Detroit Pistons,Est,0.78,1,1,0.7,4,5,NBA Champion,NBA Final,Conference Final
2005-2006,Miami Heat,Est,0.634,2,5,0.55,7,9,Conference Semi-Final,Conference Final,NBA Champion
2005-2006,Cleveland Cavaliers,Est,0.61,3,6,0.7,9,14,No Playoff,No Playoff,Conference Semi-Final
2005-2006,New Jersey Nets,Est,0.598,4,8,0.75,24,4,Conference Semi-Final,First Round,Conference Semi-Final
2005-2006,Washington Wizards,Est,0.512,5,13,0.5,6,22,No Playoff,Conference Semi-Final,First Round
2005-2006,Indiana Pacers,Est,0.5,6,14,0.45,21,3,Conference Final,Conference Semi-Final,First Round
2005-2006,Chicago Bulls,Est,0.5,7,15,0.7,25,6,No Playoff,First Round,First Round
2005-2006,Milwaukee Bucks,Est,0.481,8,17,0.5,16,23,First Round,No Playoff,First Round
2005-2006,San Antonio Spurs,West,0.768,1,2,0.75,10,1,Conference Semi-Final,NBA Champion,Conference Semi-Final
2005-2006,Dallas Mavericks,West,0.732,2,3,0.55,1,11,First Round,Conference Semi-Final,NBA Final
2005-2006,Phoenix Suns,West,0.659,3,4,0.55,2,15,No Playoff,Conference Final,Conference Final
2005-2006,Denver Nuggets,West,0.537,4,12,0.5,17,13,First Round,First Round,First Round
2005-2006,Memphis Grizzlies,West,0.598,5,7,0.75,13,2,First Round,First Round,First Round
2005-2006,Los Angeles Clippers,West,0.573,6,9,0.5,19,7,No Playoff,No Playoff,Conference Semi-Final
2005-2006,Los Angeles Lakers,West,0.549,7,10,0.65,8,16,NBA Final,No Playoff,First Round
2005-2006,Sacramento Kings,West,0.537,8,11,0.65,11,12,Conference Semi-Final,First Round,First Round
2004-2005,Miami Heat,Est,0.72,1,3,0.65,4,5,No Playoff,Conference Semi-Final,Conference Final
2004-2005,Detroit Pistons,Est,0.659,2,5,0.75,19,3,Conference Final,NBA Champion,NBA Final
2004-2005,Chicago Bulls,Est,0.573,3,10,0.75,27,2,No Playoff,No Playoff,First Round
2004-2005,Boston Celtics,Est,0.549,4,12,0.6,9,14,Conference Semi-Final,First Round,First Round
2004-2005,Washington Wizards,Est,0.549,5,13,0.5,10,19,No Playoff,No Playoff,Conference Semi-Final
2004-2005,Indiana Pacers,Est,0.537,6,15,0.65,20,11,First Round,Conference Final,Conference Semi-Final
2004-2005,Philadelphia Sixers,Est,0.524,7,16,0.65,25,9,Conference Semi-Final,No Playoff,First Round
2004-2005,New Jersey Nets,Est,0.512,8,17,0.75,26,7,NBA Final,Conference Semi-Final,First Round
2004-2005,Phoenix Suns,West,0.756,1,1,0.75,1,16,First Round,No Playoff,Conference Final
2004-2005,San Antonio Spurs,West,0.72,2,2,0.6,8,1,NBA Champion,Conference Semi-Final,NBA Champion
2004-2005,Dallas Mavericks,West,0.707,3,4,0.85,3,10,Conference Final,First Round,Conference Semi-Final
2004-2005,Seattle SuperSonics,West,0.634,4,6,0.45,2,27,No Playoff,No Playoff,Conference Semi-Final
2004-2005,Houston Rockets,West,0.622,5,7,0.7,13,4,No Playoff,First Round,First Round
2004-2005,Sacramento Kings,West,0.61,6,8,0.6,5,22,Conference Semi-Final,Conference Semi-Final,First Round
2004-2005,Denver Nuggets,West,0.598,7,9,0.85,17,8,No Playoff,First Round,First Round
2004-2005,Memphis Grizzlies,West,0.549,8,11,0.5,18,6,No Playoff,First Round,First Round
2003-2004,Indiana Pacers,Est,0.744,1,1,0.75,8,3,First Round,First Round,Conference Final
2003-2004,New Jersey Nets,Est,0.573,2,9,0.45,25,4,NBA Final,NBA Final,Conference Semi-Final
2003-2004,Detroit Pistons,Est,0.659,3,6,0.8,15,2,Conference Semi-Final,Conference Final,NBA Champion
2003-2004,Miami Heat,Est,0.512,4,12,0.8,18,9,No Playoff,No Playoff,Conference Semi-Final
2003-2004,New Orlean Hornets,Est,0.5,5,14,0.4,14,12,Conference Semi-Final,First Round,First Round
2003-2004,Milwaukee Bucks,Est,0.5,6,15,0.4,4,23,No Playoff,First Round,First Round
2003-2004,New York Knicks,Est,0.476,7,17,0.6,20,14,No Playoff,No Playoff,First Round
2003-2004,Boston Celtics,Est,0.439,8,20,0.5,19,16,Conference Final,Conference Semi-Final,First Round
2003-2004,Minnesota Timberwolves,West,0.707,1,2,0.7,5,6,First Round,First Round,Conference Final
2003-2004,Los Angeles Lakers,West,0.683,2,3,0.75,6,8,NBA Champion,Conference Semi-Final,NBA Final
2003-2004,San Antonio Spurs,West,0.695,3,4,0.8,17,1,Conference Semi-Final,NBA Champion,Conference Semi-Final
2003-2004,Sacramento Kings,West,0.671,4,5,0.45,2,20,Conference Final,Conference Semi-Final,Conference Semi-Final
2003-2004,Dallas Mavericks,West,0.634,5,7,0.65,1,26,Conference Semi-Final,Conference Final,First Round
2003-2004,Memphis Grizzlies,West,0.61,6,8,0.6,7,10,No Playoff,No Playoff,First Round
2003-2004,Houston Rockets,West,0.549,7,10,0.45,24,5,No Playoff,No Playoff,First Round
2003-2004,Denver Nuggets,West,0.524,8,11,0.5,9,13,No Playoff,No Playoff,First Round
2002-2003,Detroit Pistons,Est,0.61,1,5,0.55,15,4,No Playoff,Conference Semi-Final,Conference Final
2002-2003,New Jersey Nets,Est,0.598,2,8,0.55,20,1,No Playoff,NBA Final,NBA Final
2002-2003,Indiana Pacers,Est,0.585,3,9,0.5,13,5,First Round,First Round,First Round
2002-2003,Philadelphia Sixers,Est,0.585,4,10,0.6,11,11,NBA Final,First Round,Conference Semi-Final
2002-2003,New Orlean Hornets,Est,0.573,5,12,0.6,16,7,Conference Semi-Final,Conference Semi-Final,First Round
2002-2003,Boston Celtics,Est,0.537,6,14,0.4,24,8,No Playoff,Conference Final,Conference Semi-Final
2002-2003,Milwaukee Bucks,Est,0.512,7,16,0.55,2,28,Conference Final,No Playoff,First Round
2002-2003,Orlando Magic,Est,0.512,8,17,0.5,10,20,First Round,First Round,First Round
2002-2003,San Antonio Spurs,West,0.732,1,1,0.8,9,3,Conference Final,Conference Semi-Final,NBA Champion
2002-2003,Sacramento Kings,West,0.72,2,3,0.8,7,2,Conference Semi-Final,Conference Final,Conference Semi-Final
2002-2003,Dallas Mavericks,West,0.732,3,2,0.6,1,9,Conference Semi-Final,Conference Semi-Final,Conference Final
2002-2003,Minnesota Timberwolves,West,0.622,4,4,0.55,5,16,First Round,First Round,First Round
2002-2003,Los Angeles Lakers,West,0.61,5,7,0.75,4,19,NBA Champion,NBA Champion,Conference Semi-Final
2002-2003,Portland Blazers,West,0.61,6,6,0.5,8,14,First Round,First Round,First Round
2002-2003,Utah Jazz,West,0.573,7,11,0.6,6,15,First Round,First Round,First Round
2002-2003,Phoenix Suns,West,0.537,8,13,0.55,17,10,First Round,No Playoff,First Round
2001-2002,New Jersey Nets,Est,0.634,1,5,0.65,17,1,No Playoff,No Playoff,NBA Final
2001-2002,Detroit Pistons,Est,0.61,2,7,0.7,12,8,First Round,No Playoff,Conference Semi-Final
2001-2002,Boston Celtics,Est,0.598,3,9,0.7,18,6,No Playoff,No Playoff,Conference Final
2001-2002,Charlotte Hornets,Est,0.537,4,13,0.7,15,10,First Round,Conference Semi-Final,Conference Semi-Final
2001-2002,Orlando Magic,Est,0.537,5,12,0.6,8,16,No Playoff,First Round,First Round
2001-2002,Philadelphia Sixers,Est,0.524,6,14,0.5,23,4,Conference Semi-Final,NBA Final,First Round
2001-2002,Toronto Raptors,Est,0.512,7,16,0.65,22,9,First Round,Conference Semi-Final,First Round
2001-2002,Indiana Pacers,Est,0.512,8,15,0.6,16,11,NBA Final,First Round,First Round
2001-2002,Sacramento Kings,West,0.744,1,1,0.8,5,5,First Round,Conference Semi-Final,Conference Final
2001-2002,San Antonio Spurs,West,0.707,2,2,0.85,9,2,First Round,Conference Final,Conference Semi-Final
2001-2002,Los Angeles Lakers,West,0.707,3,3,0.7,2,7,NBA Champion,NBA Champion,NBA Champion
2001-2002,Dallas Mavericks,West,0.695,4,4,0.65,1,24,No Playoff,Conference Semi-Final,Conference Semi-Final
2001-2002,Minnesota Timberwolves,West,0.61,5,6,0.5,3,15,First Round,First Round,First Round
2001-2002,Portland Blazers,West,0.598,6,8,0.55,6,13,Conference Final,First Round,First Round
2001-2002,Seattle SuperSonics,West,0.549,7,10,0.5,4,17,First Round,No Playoff,First Round
2001-2002,Utah Jazz,West,0.537,8,11,0.5,10,14,Conference Semi-Final,First Round,First Round
2000-2001,Philadelphia Sixers,Est,0.683,1,3,0.5,12,5,Conference Semi-Final,Conference Semi-Final,NBA Final
2000-2001,Milwaukee Bucks,Est,0.634,2,7,0.7,1,19,First Round,First Round,Conference Final
2000-2001,Miami Heat,Est,0.61,3,10,0.65,20,4,First Round,Conference Semi-Final,First Round
2000-2001,New York Knicks,Est,0.585,4,11,0.6,19,3,NBA Final,Conference Final,First Round
2000-2001,Toronto Raptors,Est,0.573,5,13,0.7,8,14,No Playoff,First Round,Conference Semi-Final
2000-2001,Charlotte Hornets,Est,0.561,6,14,0.55,16,7,No Playoff,First Round,Conference Semi-Final
2000-2001,Orlando Magic,Est,0.524,7,17,0.45,14,10,First Round,No Playoff,First Round
2000-2001,Indiana Pacers,Est,0.5,8,18,0.7,15,11,Conference Final,NBA Final,First Round
2000-2001,San Antonio Spurs,West,0.707,1,1,0.75,6,1,NBA Champion,First Round,Conference Final
2000-2001,Los Angeles Lakers,West,0.683,2,2,0.75,2,21,Conference Semi-Final,NBA Champion,NBA Champion
2000-2001,Sacramento Kings,West,0.671,3,4,0.6,10,6,First Round,First Round,Conference Semi-Final
2000-2001,Dallas Mavericks,West,0.646,4,6,0.7,4,13,No Playoff,No Playoff,Conference Semi-Final
2000-2001,Utah Jazz,West,0.646,5,5,0.5,3,12,Conference Semi-Final,Conference Semi-Final,First Round
2000-2001,Phoenix Suns,West,0.622,6,8,0.7,22,2,First Round,Conference Semi-Final,First Round
2000-2001,Portland Blazers,West,0.61,7,9,0.4,7,9,Conference Final,Conference Final,First Round
2000-2001,Minnesota Timberwolves,West,0.573,8,12,0.5,11,15,First Round,First Round,First Round
1999-2000,Indiana Pacers,Est,0.683,1,3,0.65,1,13,Conference Final,Conference Final,NBA Final
1999-2000,Miami Heat,Est,0.634,2,7,0.65,16,7,First Round,First Round,Conference Semi-Final
1999-2000,New York Knicks,Est,0.61,3,9,0.6,23,5,Conference Semi-Final,NBA Final,Conference Final
1999-2000,Philadelphia Sixers,Est,0.598,4,11,0.7,25,4,No Playoff,Conference Semi-Final,Conference Semi-Final
1999-2000,Charlotte Hornets,Est,0.598,5,10,0.75,18,8,Conference Semi-Final,No Playoff,First Round
1999-2000,Toronto Raptors,Est,0.549,6,13,0.45,14,16,No Playoff,No Playoff,First Round
1999-2000,Milwaukee Bucks,Est,0.512,7,16,0.65,2,26,No Playoff,First Round,First Round
1999-2000,Detroit Pistons,Est,0.512,8,15,0.55,4,20,No Playoff,First Round,First Round
1999-2000,Los Angeles Lakers,West,0.817,1,1,0.8,6,1,Conference Final,Conference Semi-Final,NBA Champion
1999-2000,Utah Jazz,West,0.671,2,4,0.65,5,11,NBA Final,Conference Semi-Final,Conference Semi-Final
1999-2000,Portland Blazers,West,0.72,3,2,0.6,3,6,First Round,Conference Final,Conference Final
1999-2000,Phoenix Suns,West,0.646,4,6,0.7,17,3,First Round,First Round,Conference Semi-Final
1999-2000,San Antonio Spurs,West,0.646,5,5,0.65,11,2,Conference Semi-Final,NBA Champion,First Round
1999-2000,Minnesota Timberwolves,West,0.61,6,8,0.65,8,12,First Round,First Round,First Round
1999-2000,Seattle SuperSonics,West,0.549,7,12,0.4,9,15,Conference Semi-Final,No Playoff,First Round
1999-2000,Sacramento Kings,West,0.537,8,14,0.4,12,10,No Playoff,First Round,First Round
1998-1999,Indiana Pacers,Est,0.66,1,4,0.65,1,24,No Playoff,Conference Final,Conference Final
1998-1999,Miami Heat,Est,0.66,2,5,0.7,7,8,Conference Final,First Round,First Round
1998-1999,Orlando Magic,Est,0.66,3,6,0.6,23,2,First Round,No Playoff,First Round
1998-1999,Atlanta Hawks,Est,0.62,4,8,0.6,19,3,Conference Semi-Final,First Round,Conference Semi-Final
1998-1999,Detroit Pistons,Est,0.58,5,10,0.55,10,9,First Round,No Playoff,First Round
1998-1999,Philadelphia Sixers,Est,0.56,6,11,0.6,22,6,No Playoff,No Playoff,Conference Semi-Final
1998-1999,Milwaukee Bucks,Est,0.56,7,12,0.5,8,18,No Playoff,No Playoff,First Round
1998-1999,New York Knicks,Est,0.54,8,14,0.55,26,4,Conference Semi-Final,Conference Semi-Final,NBA Final
1998-1999,San Antonio Spurs,West,0.74,1,1,0.85,11,1,No Playoff,Conference Semi-Final,NBA Champion
1998-1999,Utah Jazz,West,0.74,2,2,0.75,4,7,NBA Final,NBA Final,Conference Semi-Final
1998-1999,Portland Blazers,West,0.7,3,3,0.55,9,5,First Round,First Round,Conference Final
1998-1999,Los Angeles Lakers,West,0.62,4,7,0.6,2,23,Conference Semi-Final,Conference Final,Conference Semi-Final
1998-1999,Houston Rockets,West,0.62,5,9,0.5,5,15,Conference Final,First Round,First Round
1998-1999,Phoenix Suns,West,0.54,6,13,0.65,3,19,First Round,First Round,First Round
1998-1999,Sacramento Kings,West,0.54,7,15,0.466666667,14,16,No Playoff,No Playoff,First Round
1998-1999,Minnesota Timberwolves,West,0.5,8,18,0.4,17,10,First Round,First Round,First Round
1997-1998,Chicago Bulls,Est,0.756,1,1,0.8,7,3,NBA Champion,NBA Champion,NBA Champion
1997-1998,Miami Heat,Est,0.671,2,8,0.6,9,7,First Round,Conference Final,First Round
1997-1998,Indiana Pacers,Est,0.707,3,5,0.75,4,6,First Round,No Playoff,Conference Final
1997-1998,Charlotte Hornets,Est,0.622,4,9,0.6,12,16,No Playoff,First Round,Conference Semi-Final
1997-1998,Atlanta Hawks,Est,0.61,5,10,0.65,6,13,Conference Semi-Final,Conference Semi-Final,First Round
1997-1998,Cleveland Cavaliers,Est,0.573,6,11,0.7,24,1,First Round,No Playoff,First Round
1997-1998,New Jersey Nets,Est,0.524,7,15,0.5,5,21,No Playoff,No Playoff,First Round
1997-1998,New York Knicks,Est,0.524,8,14,0.4,20,4,Conference Semi-Final,Conference Semi-Final,Conference Semi-Final
1997-1998,Utah Jazz,West,0.756,1,2,0.8,1,15,Conference Final,NBA Final,NBA Final
1997-1998,Los Angeles Lakers,West,0.744,2,3,0.85,2,9,First Round,Conference Semi-Final,Conference Final
1997-1998,Seattle SuperSonics,West,0.744,3,4,0.7,3,12,NBA Final,Conference Semi-Final,Conference Semi-Final
1997-1998,San Antonio Spurs,West,0.683,4,6,0.7,16,2,Conference Semi-Final,No Playoff,Conference Semi-Final
1997-1998,Phoenix Suns,West,0.683,5,7,0.75,11,5,First Round,First Round,First Round
1997-1998,Portland Blazers,West,0.561,6,12,0.55,17,8,First Round,First Round,First Round
1997-1998,Minnesota Timberwolves,West,0.549,7,13,0.6,8,23,No Playoff,First Round,First Round
1997-1998,Houston Rockets,West,0.5,8,18,0.5,10,25,Conference Semi-Final,Conference Final,First Round
1996-1997,Chicago Bulls,Est,0.841,1,1,0.75,1,3,Conference Semi-Final,NBA Champion,NBA Champion
1996-1997,Miami Heat,Est,0.744,2,3,0.8,12,1,No Playoff,First Round,Conference Final
1996-1997,New York Knicks,Est,0.695,3,6,0.55,25,2,Conference Semi-Final,Conference Semi-Final,Conference Semi-Final
1996-1997,Atlanta Hawks,Est,0.683,4,7,0.65,7,4,First Round,Conference Semi-Final,Conference Semi-Final
1996-1997,Detroit Pistons,Est,0.659,5,9,0.45,5,11,No Playoff,First Round,First Round
1996-1997,Charlotte Hornets,Est,0.659,6,10,0.7,4,22,First Round,No Playoff,First Round
1996-1997,Orlando Magic,Est,0.549,7,12,0.55,16,14,NBA Final,Conference Final,First Round
1996-1997,Washington Bullets,Est,0.537,8,13,0.75,13,12,No Playoff,No Playoff,First Round
1996-1997,Utah Jazz,West,0.78,1,2,0.95,2,10,First Round,Conference Final,NBA Final
1996-1997,Houston Rockets,West,0.695,2,4,0.75,8,9,NBA Champion,Conference Semi-Final,Conference Final
1996-1997,Seattle SuperSonics,West,0.695,3,5,0.65,3,6,First Round,NBA Final,Conference Semi-Final
1996-1997,Los Angeles Lakers,West,0.683,4,8,0.7,9,8,Conference Semi-Final,First Round,Conference Semi-Final
1996-1997,Portland Blazers,West,0.598,5,11,0.75,10,7,First Round,First Round,First Round
1996-1997,Phoenix Suns,West,0.488,6,15,0.8,6,19,Conference Semi-Final,First Round,First Round
1996-1997,Minnesota Timberwolves,West,0.488,7,16,0.45,17,15,No Playoff,No Playoff,First Round
1996-1997,Los Angeles Clippers,West,0.439,8,18,0.45,18,16,No Playoff,No Playoff,First Round
1995-1996,Chicago Bulls,Est,0.878,1,1,0.85,1,1,Conference Semi-Final,Conference Semi-Final,NBA Champion
1995-1996,Orlando Magic,Est,0.732,2,3,0.65,3,12,First Round,NBA Final,Conference Final
1995-1996,Indiana Pacers,Est,0.634,3,7,0.65,6,13,Conference Final,Conference Final,First Round
1995-1996,Cleveland Cavaliers,Est,0.573,4,9,0.6,9,11,First Round,First Round,First Round
1995-1996,New York Knicks,Est,0.573,5,10,0.55,19,5,NBA Final,Conference Semi-Final,Conference Semi-Final
1995-1996,Atlanta Hawks,Est,0.561,6,12,0.55,11,16,Conference Semi-Final,First Round,Conference Semi-Final
1995-1996,Detroit Pistons,Est,0.561,7,11,0.55,15,7,No Playoff,No Playoff,First Round
1995-1996,Miami Heat,Est,0.512,8,14,0.6,23,6,First Round,No Playoff,First Round
1995-1996,Seattle SuperSonics,West,0.78,1,2,0.8,7,2,First Round,First Round,NBA Final
1995-1996,San Antonio Spurs,West,0.72,2,4,0.75,8,3,First Round,Conference Final,Conference Semi-Final
1995-1996,Utah Jazz,West,0.671,3,5,0.6,2,8,Conference Final,First Round,Conference Final
1995-1996,Los Angeles Lakers,West,0.646,4,6,0.65,4,10,No Playoff,Conference Semi-Final,First Round
1995-1996,Houston Rockets,West,0.585,5,8,0.4,12,14,NBA Champion,NBA Champion,Conference Semi-Final
1995-1996,Portland Blazers,West,0.537,6,13,0.8,20,4,First Round,First Round,First Round
1995-1996,Phoenix Suns,West,0.5,7,15,0.5,10,20,Conference Semi-Final,Conference Semi-Final,First Round
1995-1996,Sacramento Kings,West,0.476,8,18,0.55,18,19,No Playoff,No Playoff,First Round
1994-1995,Orlando Magic,Est,0.695,1,5,0.45,1,13,No Playoff,First Round,NBA Final
1994-1995,Indiana Pacers,Est,0.634,2,7,0.7,6,7,First Round,Conference Final,Conference Final
1994-1995,New York Knicks,Est,0.671,3,6,0.7,16,1,Conference Final,NBA Final,Conference Semi-Final
1994-1995,Charlotte Hornets,Est,0.61,4,8,0.55,8,9,Conference Semi-Final,No Playoff,First Round
1994-1995,Chicago Bulls,Est,0.573,5,10,0.8,10,2,NBA Champion,Conference Semi-Final,Conference Semi-Final
1994-1995,Cleveland Cavaliers,Est,0.524,6,13,0.35,20,3,Conference Semi-Final,First Round,First Round
1994-1995,Atlanta Hawks,Est,0.512,7,14,0.55,18,4,First Round,Conference Semi-Final,First Round
1994-1995,Boston Celtics,Est,0.427,8,18,0.55,13,21,First Round,No Playoff,First Round
1994-1995,San Antonio Spurs,West,0.756,1,1,0.9,5,5,Conference Semi-Final,First Round,Conference Final
1994-1995,Phoenix Suns,West,0.72,2,3,0.65,4,20,NBA Final,Conference Semi-Final,Conference Semi-Final
1994-1995,Utah Jazz,West,0.732,3,2,0.7,3,8,First Round,Conference Final,First Round
1994-1995,Seattle SuperSonics,West,0.695,4,4,0.7,2,10,Conference Final,First Round,First Round
1994-1995,Los Angeles Lakers,West,0.585,5,9,0.5,11,16,First Round,No Playoff,Conference Semi-Final
1994-1995,Houston Rockets,West,0.573,6,11,0.45,7,12,Conference Semi-Final,NBA Champion,NBA Champion
1994-1995,Portland Blazers,West,0.537,7,12,0.45,9,6,First Round,First Round,First Round
1994-1995,Denver Nuggets,West,0.5,8,15,0.6,12,14,No Playoff,Conference Semi-Final,First Round
1993-1994,Atlanta Hawks,Est,0.695,1,4,0.7,13,3,No Playoff,First Round,Conference Semi-Final
1993-1994,New York Knicks,Est,0.695,2,3,0.7,16,1,Conference Semi-Final,Conference Final,NBA Final
1993-1994,Chicago Bulls,Est,0.671,3,7,0.75,14,6,NBA Champion,NBA Champion,Conference Semi-Final
1993-1994,Orlando Magic,Est,0.61,4,9,0.65,3,15,No Playoff,No Playoff,First Round
1993-1994,Cleveland Cavaliers,Est,0.573,5,11,0.55,6,11,Conference Final,Conference Semi-Final,First Round
1993-1994,Indiana Pacers,Est,0.573,6,12,0.7,11,8,First Round,First Round,Conference Final
1993-1994,New Jersey Nets,Est,0.549,7,14,0.65,12,9,First Round,First Round,First Round
1993-1994,Miami Heat,Est,0.512,8,15,0.35,5,14,First Round,No Playoff,First Round
1993-1994,Seattle SuperSonics,West,0.768,1,1,0.85,2,4,Conference Semi-Final,Conference Final,First Round
1993-1994,Houston Rockets,West,0.707,2,2,0.65,15,2,No Playoff,Conference Semi-Final,NBA Champion
1993-1994,Phoenix Suns,West,0.683,3,5,0.75,1,16,Conference Semi-Final,NBA Final,Conference Semi-Final
1993-1994,San Antonio Spurs,West,0.671,4,6,0.55,4,10,First Round,Conference Semi-Final,First Round
1993-1994,Utah Jazz,West,0.646,5,8,0.55,7,7,Conference Final,First Round,Conference Final
1993-1994,Golden State Warriors,West,0.61,6,10,0.7,10,13,First Round,No Playoff,First Round
1993-1994,Portland Blazers,West,0.573,7,13,0.45,9,12,NBA Final,First Round,First Round
1993-1994,Denver Nuggets,West,0.512,8,16,0.55,20,5,No Playoff,No Playoff,Conference Semi-Final
1992-1993,New York Knicks,Est,0.732,1,2,0.8,22,1,First Round,Conference Semi-Final,Conference Final
1992-1993,Chicago Bulls,Est,0.695,2,3,0.75,2,8,NBA Champion,NBA Champion,NBA Champion
1992-1993,Cleveland Cavaliers,Est,0.659,3,6,0.7,3,6,No Playoff,Conference Final,Conference Semi-Final
1992-1993,Boston Celtics,Est,0.585,4,9,0.7,12,14,Conference Semi-Final,Conference Semi-Final,First Round
1992-1993,Charlotte Hornets,Est,0.537,5,11,0.55,7,19,No Playoff,No Playoff,Conference Semi-Final
1992-1993,Atlanta Hawks,Est,0.524,6,13,0.6,10,21,First Round,No Playoff,First Round
1992-1993,New Jersey Nets,Est,0.524,7,12,0.35,19,5,No Playoff,First Round,First Round
1992-1993,Orlando Magic,Est,0.5,8,15,0.6,13,12,No Playoff,No Playoff,No Playoff
1992-1993,Phoenix Suns,West,0.756,1,1,0.7,1,9,First Round,Conference Semi-Final,NBA Final
1992-1993,Houston Rockets,West,0.671,2,5,0.7,6,2,First Round,No Playoff,Conference Semi-Final
1992-1993,Seattle SuperSonics,West,0.671,3,4,0.65,4,3,First Round,Conference Semi-Final,Conference Final
1992-1993,Portland Blazers,West,0.622,4,7,0.7,14,4,Conference Final,NBA Final,First Round
1992-1993,San Antonio Spurs,West,0.598,5,8,0.45,8,10,First Round,First Round,Conference Semi-Final
1992-1993,Utah Jazz,West,0.573,6,10,0.55,9,13,Conference Semi-Final,Conference Final,First Round
1992-1993,Los Angeles Clippers,West,0.5,7,16,0.5,18,11,No Playoff,First Round,First Round
1992-1993,Los Angeles Lakers,West,0.476,8,18,0.3,16,16,NBA Final,First Round,First Round
1991-1992,Chicago Bulls,Est,0.817,1,1,0.85,1,5,Conference Final,NBA Champion,NBA Champion
1991-1992,Boston Celtics,Est,0.622,2,8,0.8,9,9,First Round,Conference Semi-Final,Conference Semi-Final
1991-1992,New York Knicks,Est,0.622,3,7,0.6,12,3,Conference Semi-Final,First Round,Conference Semi-Final
1991-1992,Cleveland Cavaliers,Est,0.695,4,3,0.75,2,11,First Round,No Playoff,Conference Final
1991-1992,Detroit Pistons,Est,0.585,5,9,0.55,14,6,NBA Champion,Conference Final,First Round
1991-1992,New Jersey Nets,Est,0.488,6,16,0.65,18,13,No Playoff,No Playoff,First Round
1991-1992,Indiana Pacers,Est,0.488,7,15,0.6,6,20,First Round,First Round,First Round
1991-1992,Miami Heat,Est,0.463,8,18,0.5,19,26,No Playoff,No Playoff,First Round
1991-1992,Portland Blazers,West,0.695,1,2,0.65,7,2,NBA Final,Conference Final,NBA Final
1991-1992,Golden State Warriors,West,0.671,2,5,0.65,3,21,No Playoff,Conference Semi-Final,First Round
